prompt,prompt_cat,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,client_waiting,gen_tok_per_sec,prompt_tok_per_sec
1,short,4157343292,16125000,27,66884666,228,4048443044,4.159970375010744,56.31794680621917,403.67997053315634
1,short,3621555875,16019042,27,17828125,200,3564792454,3.624235333991237,56.1042480258796,1514.460999123576
1,short,4696180250,16779750,27,18502917,250,4634116843,4.698691457975656,53.947711822940754,1459.2293744818721
1,short,3555771208,16095250,27,21261334,180,3499195872,3.55864083400229,51.44038990224323,1269.9109096353031
1,short,5627385417,16064458,27,20649833,277,5561675955,5.630293750029523,49.80513108660607,1307.516627374178
2,short,4756735125,16023334,15,69053958,233,4647800134,4.759636665985454,50.13124344472942,217.22143718394824
2,short,5097535792,15647542,15,21010083,244,5035343006,5.09996558300918,48.4574734450573,713.9429196924162
2,short,5412820083,16111041,15,21655291,256,5348836930,5.415971749986056,47.86087206438727,692.6713660878536
2,short,2442392958,15857500,15,21908500,116,2392015495,2.4447211250080727,48.494669136748215,684.6657689937695
2,short,3971168000,18800416,15,20952167,188,3911863828,3.973363084020093,48.058932587159575,715.9164013917988
3,short,310239917,17496917,19,77001625,12,213952542,0.3125962499761954,56.08720461007657,246.74803940825922
3,short,261294792,16377417,19,19958375,12,223262084,0.26319504203274846,53.74849049603962,951.9813111037346
3,short,266752291,16137833,19,21496875,12,227380917,0.2687201249646023,52.77487732182908,883.8493967146388
3,short,262083375,16001791,19,20301250,12,223976750,0.2638403329765424,53.576989575926966,935.9029616402931
3,short,253871125,20437000,19,21357792,11,210402248,0.2558069580118172,52.28081023164734,889.605067789779
4,medium,11445175666,15969083,196,358309250,518,11016736334,11.448712499986868,47.01936982927887,547.0135085823209
4,medium,10197905500,16109708,196,18670875,471,10113583825,10.201307958050165,46.57102844549766,10497.63334605368
4,medium,9135256209,16724750,196,18826084,427,9055161170,9.138981709023938,47.155427935911604,10411.08708534393
4,medium,8666420625,15683542,196,20450625,408,8587978999,8.670071042026393,47.50826708443375,9584.059166895877
4,medium,10130427458,16019083,196,20164500,478,10044972137,10.134628500032704,47.58599560862077,9720.052567631234
5,medium,7403139583,16353875,195,358293458,331,6994183118,7.406039667024743,47.32504059668516,544.2466102744193
5,medium,8269338417,15630708,195,22191458,387,8191110042,8.272663291951176,47.2463436598524,8787.164863164917
5,medium,4875639958,15902542,195,21701292,231,4813516382,4.879187332990114,47.989864720065675,8985.640117648294
5,medium,7408209584,15681709,195,22415458,349,7334225538,7.41139662504429,47.58511968193035,8699.353811998844
5,medium,6643690958,15804666,195,21738917,314,6573420659,6.647096875007264,47.76812808565459,8970.088068324654
6,long,14558540709,16147000,1829,3291160751,519,11194801399,14.565282666007988,46.360804582594994,555.7309831931694
6,long,6674355708,15923583,1829,21276459,309,6601720170,6.680129582993686,46.805982689811586,85963.55248775183
6,long,11806715541,16232916,1829,20750958,540,11711095993,11.813460333971307,46.110116450481726,88140.508982766
6,long,9580698000,16455500,1829,22268292,433,9493882375,9.58646983304061,45.60831732444968,82134.7232199039
6,long,13133118833,15648458,1829,23475209,574,13019211373,13.138749916979577,44.088691976412235,77911.97939920364
