,provider,input_tokens,output_tokens,client_waiting,prompt_number,prompt_category,tok_per_sec
0,Ollama,27,266,4.798042125010397,1,short,55.4392798290456
1,Ollama,27,255,4.598709999991115,1,short,55.45033281083014
2,Ollama,27,263,5.098483542038593,1,short,51.583965669690336
3,Ollama,27,223,4.586973915982526,1,short,48.615929387127025
4,Ollama,27,287,6.095988499990199,1,short,47.08014130939739
5,Ollama,15,286,6.2128850420122035,2,short,46.03336422065384
6,Ollama,15,156,3.4309561669942923,2,short,45.46837453090071
7,Ollama,15,327,7.124555499991402,2,short,45.8976002082368
8,Ollama,15,148,3.3104185839765705,2,short,44.70733722809703
9,Ollama,15,272,6.1674602089915425,2,short,44.10243289505964
10,Ollama,19,11,0.3162066669901833,3,short,34.78737530964677
11,Ollama,19,12,0.2817653749953024,3,short,42.58862537740865
12,Ollama,19,12,0.2849205000093207,3,short,42.117011586065026
13,Ollama,19,12,0.2774464579997584,3,short,43.25158838398452
14,Ollama,19,12,0.2794376669917255,3,short,42.94338744373833
15,Ollama,196,313,7.55780470801983,4,medium,41.41414234584093
16,Ollama,196,298,7.119661292003002,4,medium,41.85592372697866
17,Ollama,196,427,10.335308249981608,4,medium,41.31468454274306
18,Ollama,196,395,9.20409945800202,4,medium,42.91565967994707
19,Ollama,196,494,11.306964916992,4,medium,43.68988527218488
20,Ollama,195,341,8.105081290996168,5,medium,42.07237259653553
21,Ollama,195,386,8.693019124970306,5,medium,44.40344539116823
22,Ollama,195,453,10.20405350002693,5,medium,44.39412239447828
23,Ollama,195,236,5.099758333002683,5,medium,46.27670265721116
24,Ollama,195,537,11.841624208027495,5,medium,45.348508833439
25,Ollama,1829,408,13.379247292003129,6,long,30.494989074898445
26,Ollama,1829,660,16.440503790974617,6,long,40.14475519675509
27,Ollama,1829,727,19.66544187499676,6,long,36.96840399626768
28,Ollama,1829,207,5.880799750040751,6,long,35.199294109371024
29,Ollama,1829,514,15.303926082968246,6,long,33.58615280898613
30,haiku,23,299,5.154829666018486,1,short,58.00385645544388
31,haiku,23,335,6.802527374995407,1,short,49.24640233443033
